location_name,year,Rate,measure_clean
Low-middle SDI,2006,10.391625555560877,Deaths
Low-middle SDI,2007,10.593849870646359,Deaths
Low-middle SDI,2008,10.860969678050726,Deaths
Low-middle SDI,2009,10.917983043307451,Deaths
Low-middle SDI,2010,11.159823515726563,Deaths
Low-middle SDI,2011,11.43888036342228,Deaths
Low-middle SDI,2012,11.762435455216082,Deaths
Low-middle SDI,2013,12.238584414443123,Deaths
Low-middle SDI,2014,12.963673060620428,Deaths
Low-middle SDI,2015,13.496230053987277,Deaths
Low-middle SDI,2016,13.845650037825333,Deaths
Low-middle SDI,2017,14.152944768478582,Deaths
Low-middle SDI,2018,14.477813153485839,Deaths
Low-middle SDI,2019,14.936881716122969,Deaths
Low-middle SDI,2020,15.506905514920422,Deaths
Low-middle SDI,2021,16.477965079227204,Deaths
Low-middle SDI,2022,17.57936160170281,Deaths
Low-middle SDI,2023,18.208728089207796,Deaths
Middle SDI,1990,9.733359573293878,Deaths
Middle SDI,1991,9.792658722691128,Deaths
Middle SDI,1992,9.894533600807682,Deaths
Middle SDI,1993,10.00704456048614,Deaths
Middle SDI,1994,10.096824062382364,Deaths
Middle SDI,1995,10.187424304317133,Deaths
Middle SDI,1996,10.316420946140449,Deaths
Middle SDI,1997,10.448461100803817,Deaths
Middle SDI,1998,10.522889433326286,Deaths
Middle SDI,1999,10.539980285582093,Deaths
Middle SDI,2000,10.53931517533242,Deaths
Middle SDI,2001,10.551676770336082,Deaths
Middle SDI,2002,10.552189561534762,Deaths
Middle SDI,2003,10.525247793258604,Deaths
Middle SDI,2004,10.756733394991166,Deaths
Middle SDI,2005,10.621066769116673,Deaths
Middle SDI,2006,10.761217158861374,Deaths
Middle SDI,2007,10.932413980177657,Deaths
Middle SDI,2008,11.117180518362451,Deaths
Middle SDI,2009,11.291429612587928,Deaths
Middle SDI,2010,11.499018178995954,Deaths
Middle SDI,2011,11.684010275212472,Deaths
Middle SDI,2012,11.813173296338691,Deaths
Middle SDI,2013,12.028002120660364,Deaths
Middle SDI,2014,12.307254734151822,Deaths
Middle SDI,2015,12.607509278323457,Deaths
Middle SDI,2016,12.865409296583197,Deaths
