location_name,year,age_name,Risk_Factor,val
China,1998,45-49 years,High fasting plasma glucose,0.065961344
China,1998,45-49 years,Low physical activity,0.011566253
China,1998,45-49 years,Tobacco use,0.141143529
China,1999,25-29 years,High BMI,0
China,1999,25-29 years,High alcohol use,0.007216449
China,1999,25-29 years,High fasting plasma glucose,0.029875106
China,1999,25-29 years,Low physical activity,0.010450669
China,1999,25-29 years,Tobacco use,0.134203162
China,1999,30-34 years,High BMI,0
China,1999,30-34 years,High alcohol use,0.010312818
China,1999,30-34 years,High fasting plasma glucose,0.037804607
China,1999,30-34 years,Low physical activity,0.010676946
China,1999,30-34 years,Tobacco use,0.135233154
China,1999,35-39 years,High BMI,0
China,1999,35-39 years,High alcohol use,0.012139768
China,1999,35-39 years,High fasting plasma glucose,0.047122726
China,1999,35-39 years,Low physical activity,0.010629796
China,1999,35-39 years,Tobacco use,0.135588355
China,1999,40-44 years,High BMI,0
China,1999,40-44 years,High alcohol use,0.014752011
China,1999,40-44 years,High fasting plasma glucose,0.056396136
China,1999,40-44 years,Low physical activity,0.010725724
China,1999,40-44 years,Tobacco use,0.13796909
China,1999,45-49 years,High BMI,0
China,1999,45-49 years,High alcohol use,0.012867846
China,1999,45-49 years,High fasting plasma glucose,0.064466273
China,1999,45-49 years,Low physical activity,0.011516806
China,1999,45-49 years,Tobacco use,0.139043995
China,2000,25-29 years,High BMI,0
China,2000,25-29 years,High alcohol use,0.007120979
China,2000,25-29 years,High fasting plasma glucose,0.028636487
China,2000,25-29 years,Low physical activity,0.010452954
China,2000,25-29 years,Tobacco use,0.132203181
China,2000,30-34 years,High BMI,0
China,2000,30-34 years,High alcohol use,0.010220577
China,2000,30-34 years,High fasting plasma glucose,0.036445437
China,2000,30-34 years,Low physical activity,0.010645425
China,2000,30-34 years,Tobacco use,0.133140785
China,2000,35-39 years,High BMI,0
China,2000,35-39 years,High alcohol use,0.011859764
China,2000,35-39 years,High fasting plasma glucose,0.045665799
China,2000,35-39 years,Low physical activity,0.010606058
China,2000,35-39 years,Tobacco use,0.133418932
China,2000,40-44 years,High BMI,0
China,2000,40-44 years,High alcohol use,0.014514268
China,2000,40-44 years,High fasting plasma glucose,0.054873807
China,2000,40-44 years,Low physical activity,0.01069308
China,2000,40-44 years,Tobacco use,0.135924965
China,2000,45-49 years,High BMI,0
China,2000,45-49 years,High alcohol use,0.012477545
China,2000,45-49 years,High fasting plasma glucose,0.062938271
China,2000,45-49 years,Low physical activity,0.011487986
China,2000,45-49 years,Tobacco use,0.13665602
China,2001,25-29 years,High BMI,0
China,2001,25-29 years,High alcohol use,0.00718601
China,2001,25-29 years,High fasting plasma glucose,0.027491465
China,2001,25-29 years,Low physical activity,0.01047865
China,2001,25-29 years,Tobacco use,0.130262755
China,2001,30-34 years,High BMI,0
China,2001,30-34 years,High alcohol use,0.010302201
China,2001,30-34 years,High fasting plasma glucose,0.035144745
China,2001,30-34 years,Low physical activity,0.01059331
China,2001,30-34 years,Tobacco use,0.131110547
China,2001,35-39 years,High BMI,0
China,2001,35-39 years,High alcohol use,0.011799652
China,2001,35-39 years,High fasting plasma glucose,0.044258355
China,2001,35-39 years,Low physical activity,0.01060821
China,2001,35-39 years,Tobacco use,0.131335823
China,2001,40-44 years,High BMI,0
China,2001,40-44 years,High alcohol use,0.014484977
China,2001,40-44 years,High fasting plasma glucose,0.0533624
China,2001,40-44 years,Low physical activity,0.010681516
China,2001,40-44 years,Tobacco use,0.133936291
China,2001,45-49 years,High BMI,0
China,2001,45-49 years,High alcohol use,0.012349552
China,2001,45-49 years,High fasting plasma glucose,0.061428181
China,2001,45-49 years,Low physical activity,0.011481386
China,2001,45-49 years,Tobacco use,0.134420554
China,2002,25-29 years,High BMI,0
China,2002,25-29 years,High alcohol use,0.007347575
China,2002,25-29 years,High fasting plasma glucose,0.02646155
China,2002,25-29 years,Low physical activity,0.010485606
China,2002,25-29 years,Tobacco use,0.128550076
China,2002,30-34 years,High BMI,0
China,2002,30-34 years,High alcohol use,0.01050788
China,2002,30-34 years,High fasting plasma glucose,0.033996762
China,2002,30-34 years,Low physical activity,0.010568711
China,2002,30-34 years,Tobacco use,0.129318668
China,2002,35-39 years,High BMI,0
China,2002,35-39 years,High alcohol use,0.011808148
China,2002,35-39 years,High fasting plasma glucose,0.042957978
China,2002,35-39 years,Low physical activity,0.010579728
China,2002,35-39 years,Tobacco use,0.12949251
China,2002,40-44 years,High BMI,0
China,2002,40-44 years,High alcohol use,0.014472747
China,2002,40-44 years,High fasting plasma glucose,0.051897174
China,2002,40-44 years,Low physical activity,0.010698105
China,2002,40-44 years,Tobacco use,0.132140542
China,2002,45-49 years,High BMI,0
China,2002,45-49 years,High alcohol use,0.012276585
China,2002,45-49 years,High fasting plasma glucose,0.060057902
China,2002,45-49 years,Low physical activity,0.011469441
China,2002,45-49 years,Tobacco use,0.132432854
China,2003,25-29 years,High BMI,0
China,2003,25-29 years,High alcohol use,0.007600624
China,2003,25-29 years,High fasting plasma glucose,0.025937784
China,2003,25-29 years,Low physical activity,0.010569454
China,2003,25-29 years,Tobacco use,0.127262637
China,2003,30-34 years,High BMI,0
China,2003,30-34 years,High alcohol use,0.010763335
China,2003,30-34 years,High fasting plasma glucose,0.033290354
China,2003,30-34 years,Low physical activity,0.010564365
China,2003,30-34 years,Tobacco use,0.128204143
China,2003,35-39 years,High BMI,0
China,2003,35-39 years,High alcohol use,0.011868169
China,2003,35-39 years,High fasting plasma glucose,0.042196965
China,2003,35-39 years,Low physical activity,0.010558532
China,2003,35-39 years,Tobacco use,0.128188456
China,2003,40-44 years,High BMI,0
China,2003,40-44 years,High alcohol use,0.014481572
China,2003,40-44 years,High fasting plasma glucose,0.050942274
China,2003,40-44 years,Low physical activity,0.010767766
China,2003,40-44 years,Tobacco use,0.130839419
China,2003,45-49 years,High BMI,0
China,2003,45-49 years,High alcohol use,0.012247181
China,2003,45-49 years,High fasting plasma glucose,0.059199406
China,2003,45-49 years,Low physical activity,0.011494958
China,2003,45-49 years,Tobacco use,0.131020325
China,2004,25-29 years,High BMI,0
China,2004,25-29 years,High alcohol use,0.007851224
China,2004,25-29 years,High fasting plasma glucose,0.025369404
China,2004,25-29 years,Low physical activity,0.01066706
China,2004,25-29 years,Tobacco use,0.126606218
China,2004,30-34 years,High BMI,0
China,2004,30-34 years,High alcohol use,0.011039299
China,2004,30-34 years,High fasting plasma glucose,0.032611599
China,2004,30-34 years,Low physical activity,0.010534125
China,2004,30-34 years,Tobacco use,0.127528804
China,2004,35-39 years,High BMI,0
China,2004,35-39 years,High alcohol use,0.011933488
China,2004,35-39 years,High fasting plasma glucose,0.041373934
China,2004,35-39 years,Low physical activity,0.010533486
China,2004,35-39 years,Tobacco use,0.127380585
China,2004,40-44 years,High BMI,0
China,2004,40-44 years,High alcohol use,0.014500998
China,2004,40-44 years,High fasting plasma glucose,0.049948531
China,2004,40-44 years,Low physical activity,0.010809577
China,2004,40-44 years,Tobacco use,0.130103627
China,2004,45-49 years,High BMI,0
China,2004,45-49 years,High alcohol use,0.012261668
China,2004,45-49 years,High fasting plasma glucose,0.058201699
China,2004,45-49 years,Low physical activity,0.011522388
China,2004,45-49 years,Tobacco use,0.130053889
China,2005,25-29 years,High BMI,0
China,2005,25-29 years,High alcohol use,0.00808006
China,2005,25-29 years,High fasting plasma glucose,0.024816516
China,2005,25-29 years,Low physical activity,0.010835186
China,2005,25-29 years,Tobacco use,0.12650232
China,2005,30-34 years,High BMI,0
China,2005,30-34 years,High alcohol use,0.011339335
China,2005,30-34 years,High fasting plasma glucose,0.031975636
China,2005,30-34 years,Low physical activity,0.010611777
China,2005,30-34 years,Tobacco use,0.127270912
China,2005,35-39 years,High BMI,0
China,2005,35-39 years,High alcohol use,0.012007637
China,2005,35-39 years,High fasting plasma glucose,0.040608484
China,2005,35-39 years,Low physical activity,0.01056616
China,2005,35-39 years,Tobacco use,0.127093168
China,2005,40-44 years,High BMI,0
China,2005,40-44 years,High alcohol use,0.014538908
China,2005,40-44 years,High fasting plasma glucose,0.048970528
China,2005,40-44 years,Low physical activity,0.010871348
China,2005,40-44 years,Tobacco use,0.129937045
China,2005,45-49 years,High BMI,0
China,2005,45-49 years,High alcohol use,0.012299665
China,2005,45-49 years,High fasting plasma glucose,0.057326647
China,2005,45-49 years,Low physical activity,0.011599891
China,2005,45-49 years,Tobacco use,0.12969795
China,2006,25-29 years,High BMI,0
China,2006,25-29 years,High alcohol use,0.00842841
China,2006,25-29 years,High fasting plasma glucose,0.024371741
China,2006,25-29 years,Low physical activity,0.010961864
China,2006,25-29 years,Tobacco use,0.126737827
China,2006,30-34 years,High BMI,0
China,2006,30-34 years,High alcohol use,0.011696091
China,2006,30-34 years,High fasting plasma glucose,0.031346203
China,2006,30-34 years,Low physical activity,0.010688286
China,2006,30-34 years,Tobacco use,0.127539266
China,2006,35-39 years,High BMI,0
China,2006,35-39 years,High alcohol use,0.012229997
China,2006,35-39 years,High fasting plasma glucose,0.039897919
China,2006,35-39 years,Low physical activity,0.010529506
China,2006,35-39 years,Tobacco use,0.127271887
China,2006,40-44 years,High BMI,0
China,2006,40-44 years,High alcohol use,0.014679585
China,2006,40-44 years,High fasting plasma glucose,0.048041616
China,2006,40-44 years,Low physical activity,0.010932264
China,2006,40-44 years,Tobacco use,0.130258902
China,2006,45-49 years,High BMI,0
China,2006,45-49 years,High alcohol use,0.012429922
China,2006,45-49 years,High fasting plasma glucose,0.056395629
China,2006,45-49 years,Low physical activity,0.011650003
China,2006,45-49 years,Tobacco use,0.129859524
China,2007,25-29 years,High BMI,0
China,2007,25-29 years,High alcohol use,0.008854658
China,2007,25-29 years,High fasting plasma glucose,0.023898084
China,2007,25-29 years,Low physical activity,0.011150491
China,2007,25-29 years,Tobacco use,0.127281677
China,2007,30-34 years,High BMI,0
China,2007,30-34 years,High alcohol use,0.01211487
China,2007,30-34 years,High fasting plasma glucose,0.030823707
China,2007,30-34 years,Low physical activity,0.010863305
China,2007,30-34 years,Tobacco use,0.128052112
China,2007,35-39 years,High BMI,0
China,2007,35-39 years,High alcohol use,0.012513911
China,2007,35-39 years,High fasting plasma glucose,0.03919296
China,2007,35-39 years,Low physical activity,0.010552701
