Analysis_type,Analysis_ID,Feature,Mean_abs_SHAP,Normalized_importance,Rank,Risk_Factor,Bootstrap_ID
Grouped calendar-block bootstrap,Bootstrap 49,Low_physical_activity,10.190869906714514,0.08840520338159755,3,Low physical activity,49
Grouped calendar-block bootstrap,Bootstrap 49,Tobacco_use,6.173285487269545,0.05355289234681987,4,Tobacco use,49
Grouped calendar-block bootstrap,Bootstrap 50,High_alcohol_use,5.9662452618208,0.05095034733453887,3,High alcohol use,50
Grouped calendar-block bootstrap,Bootstrap 50,High_fasting_plasma_glucose,92.5231600124389,0.790126274105637,1,High fasting plasma glucose,50
Grouped calendar-block bootstrap,Bootstrap 50,Low_physical_activity,14.315840326337254,0.1222539478355406,2,Low physical activity,50
Grouped calendar-block bootstrap,Bootstrap 50,Tobacco_use,4.293961253608851,0.03666943072428357,4,Tobacco use,50
Grouped calendar-block bootstrap,Bootstrap 51,High_alcohol_use,12.08661194452468,0.10944736998353952,2,High alcohol use,51
Grouped calendar-block bootstrap,Bootstrap 51,High_fasting_plasma_glucose,85.30897482037544,0.7724946389390571,1,High fasting plasma glucose,51
Grouped calendar-block bootstrap,Bootstrap 51,Low_physical_activity,8.752852755905513,0.07925932580478058,3,Low physical activity,51
Grouped calendar-block bootstrap,Bootstrap 51,Tobacco_use,4.284656736714875,0.03879866527262283,4,Tobacco use,51
Grouped calendar-block bootstrap,Bootstrap 52,High_alcohol_use,8.070520187870544,0.07365976651021235,3,High alcohol use,52
Grouped calendar-block bootstrap,Bootstrap 52,High_fasting_plasma_glucose,86.25460350083954,0.7872471422414214,1,High fasting plasma glucose,52
Grouped calendar-block bootstrap,Bootstrap 52,Low_physical_activity,11.42866011849221,0.10430956323211114,2,Low physical activity,52
Grouped calendar-block bootstrap,Bootstrap 52,Tobacco_use,3.81105151917128,0.03478352801625499,4,Tobacco use,52
Grouped calendar-block bootstrap,Bootstrap 53,High_alcohol_use,16.3350108240238,0.13265161449798876,3,High alcohol use,53
Grouped calendar-block bootstrap,Bootstrap 53,High_fasting_plasma_glucose,83.82335396934958,0.6807037568850292,1,High fasting plasma glucose,53
Grouped calendar-block bootstrap,Bootstrap 53,Low_physical_activity,17.330225309904883,0.14073344619960937,2,Low physical activity,53
Grouped calendar-block bootstrap,Bootstrap 53,Tobacco_use,5.65360372408348,0.04591118241737277,4,Tobacco use,53
Grouped calendar-block bootstrap,Bootstrap 54,High_alcohol_use,8.335304617005235,0.06998916121635139,3,High alcohol use,54
Grouped calendar-block bootstrap,Bootstrap 54,High_fasting_plasma_glucose,96.73869730584762,0.8122870839999842,1,High fasting plasma glucose,54
Grouped calendar-block bootstrap,Bootstrap 54,Low_physical_activity,10.400315961044502,0.08732846895763054,2,Low physical activity,54
